 time            v(clk)          v(D)            v(Dn)           v(Q0)           v(Qn0)          v(Q1)           v(Qn1)          v(Q2)           v(Qn2)          v(Q3)           v(Qn3)         
 2.72800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.55581558e-04  1.79836111e+00  3.55584627e-04  1.79836110e+00  3.55568480e-04  1.79836123e+00 -8.50998481e-05  1.79908476e+00 
 2.82800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.34899956e-04  1.79867262e+00  1.34896929e-04  1.79867261e+00  1.34901701e-04  1.79867272e+00  1.94651089e-04  1.79966465e+00 
 2.92800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.16859912e-04  1.79892470e+00  3.16862595e-04  1.79892470e+00  3.16849840e-04  1.79892478e+00 -1.07519406e-04  1.79946369e+00 
 3.02800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.17605356e-04  1.79912332e+00  1.17602153e-04  1.79912331e+00  1.17607907e-04  1.79912338e+00  1.59751624e-04  1.79991544e+00 
 3.12800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  2.89801535e-04  1.79928371e+00  2.89803896e-04  1.79928371e+00  2.89793752e-04  1.79928376e+00 -1.14100622e-04  1.79965587e+00 
 3.22800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.08265858e-04  1.79941048e+00  1.08262610e-04  1.79941048e+00  1.08268562e-04  1.79941052e+00  1.37773296e-04  1.80003515e+00 
 3.32800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  2.70332216e-04  1.79951241e+00  2.70334295e-04  1.79951241e+00  2.70326234e-04  1.79951244e+00 -1.12829988e-04  1.79975476e+00 
 3.42800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.04005215e-04  1.79959379e+00  1.04002004e-04  1.79959379e+00  1.04007712e-04  1.79959382e+00  1.22581536e-04  1.80009040e+00 
 3.52800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  2.55662432e-04  1.79965828e+00  2.55664264e-04  1.79965828e+00  2.55657872e-04  1.79965830e+00 -1.08034217e-04  1.79980734e+00 
 3.62800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.02659861e-04  1.79971052e+00  1.02656747e-04  1.79971051e+00  1.02661901e-04  1.79971053e+00  1.11065764e-04  1.80011406e+00 
 3.72800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  2.44413696e-04  1.79975119e+00  2.44415292e-04  1.79975119e+00  2.44410341e-04  1.79975121e+00 -1.01805500e-04  1.79983682e+00 
 3.82800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.03046716e-04  1.79978490e+00  1.03043737e-04  1.79978490e+00  1.03048230e-04  1.79978491e+00  1.01653229e-04  1.80012235e+00 
 3.92800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  2.35459213e-04  1.79981042e+00  2.35460587e-04  1.79981042e+00  2.35456833e-04  1.79981043e+00 -9.51448343e-05  1.79985460e+00 
 4.02800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.04475007e-04  1.79983310e+00  1.04472185e-04  1.79983310e+00  1.04475988e-04  1.79983310e+00  9.35785116e-05  1.80012360e+00 
 4.12800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  2.27877284e-04  1.79984804e+00  2.27878453e-04  1.79984804e+00  2.27875679e-04  1.79984805e+00 -8.85884692e-05  1.79986645e+00 
 4.22800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.06598483e-04  1.79986396e+00  1.06595823e-04  1.79986396e+00  1.06598967e-04  1.79986396e+00  8.64082496e-05  1.80012123e+00 
 4.32800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  2.21305201e-04  1.79987205e+00  2.21306176e-04  1.79987205e+00  2.21304265e-04  1.79987205e+00 -8.22817947e-05  1.79987513e+00 
 4.42800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.09052614e-04  1.79988351e+00  1.09050121e-04  1.79988351e+00  1.09052624e-04  1.79988351e+00  7.99049816e-05  1.80011726e+00 
 4.52800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  2.15523585e-04  1.79988749e+00  2.15524378e-04  1.79988749e+00  2.15523201e-04  1.79988749e+00 -7.63080123e-05  1.79988207e+00 
 4.62800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.11581548e-04  1.79989599e+00  1.11579221e-04  1.79989599e+00  1.11581139e-04  1.79989599e+00  7.39342705e-05  1.80011272e+00 
 4.72800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  2.10344374e-04  1.79989748e+00  2.10344996e-04  1.79989748e+00  2.10344441e-04  1.79989748e+00 -7.06979385e-05  1.79988797e+00 
 4.82800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.14060461e-04  1.79990401e+00  1.14058299e-04  1.79990401e+00  1.14059695e-04  1.79990401e+00  6.84181524e-05  1.80010807e+00 
 4.92800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  2.05639175e-04  1.79990400e+00  2.05639633e-04  1.79990400e+00  2.05639605e-04  1.79990400e+00 -6.54539387e-05  1.79989321e+00 
 5.02800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.16425939e-04  1.79990923e+00  1.16423936e-04  1.79990923e+00  1.16424877e-04  1.79990922e+00  6.33063833e-05  1.80010353e+00 
 5.12800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  2.01316484e-04  1.79990832e+00  2.01316788e-04  1.79990832e+00  2.01317202e-04  1.79990832e+00 -6.05649924e-05  1.79989796e+00 
 5.22800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.18647337e-04  1.79991267e+00  1.18645486e-04  1.79991267e+00  1.18646036e-04  1.79991267e+00  5.85626518e-05  1.80009919e+00 
 5.32800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.97310396e-04  1.79991123e+00  1.97310556e-04  1.79991123e+00  1.97311338e-04  1.79991123e+00 -5.60141337e-05  1.79990235e+00 
 5.42800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.20712268e-04  1.79991499e+00  1.20710561e-04  1.79991499e+00  1.20710779e-04  1.79991499e+00  5.41579897e-05  1.80009507e+00 
 5.52800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.93572856e-04  1.79991325e+00  1.93572882e-04  1.79991325e+00  1.93573968e-04  1.79991325e+00 -5.17821181e-05  1.79990642e+00 
 5.62800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.22081814e-04  1.79991304e+00  1.22080244e-04  1.79991304e+00  1.22080193e-04  1.79991304e+00  5.07187077e-05  1.80008834e+00 
 5.72800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.90187296e-04  1.79990777e+00  1.90187187e-04  1.79990777e+00  1.90188516e-04  1.79990777e+00 -4.69675592e-05  1.79990274e+00 
 5.82800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.24637986e-04  1.79990914e+00  1.24636537e-04  1.79990914e+00  1.24636242e-04  1.79990914e+00  4.74007357e-05  1.80007741e+00 
 5.92800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.87280512e-04  1.79990575e+00  1.87280299e-04  1.79990575e+00  1.87281837e-04  1.79990575e+00 -4.29443612e-05  1.79990184e+00 
 6.02800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.26443229e-04  1.79990765e+00  1.26441898e-04  1.79990765e+00  1.26441419e-04  1.79990765e+00  4.40397903e-05  1.80007102e+00 
 6.12800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.84283178e-04  1.79990493e+00  1.84282864e-04  1.79990493e+00  1.84284556e-04  1.79990493e+00 -3.94511478e-05  1.79990337e+00 
 6.22800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.27975933e-04  1.79990701e+00  1.27974710e-04  1.79990701e+00  1.27974084e-04  1.79990701e+00  4.07634469e-05  1.80006667e+00 
 6.32800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.81399354e-04  1.79990466e+00  1.81398945e-04  1.79990466e+00  1.81400755e-04  1.79990466e+00 -3.63134934e-05  1.79990582e+00 
 6.42800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.29337499e-04  1.79990682e+00  1.29336375e-04  1.79990682e+00  1.29335635e-04  1.79990681e+00  3.76590572e-05  1.80006329e+00 
 6.52800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.78646531e-04  1.79990470e+00  1.78646035e-04  1.79990470e+00  1.78647934e-04  1.79990470e+00 -3.34491703e-05  1.79990858e+00 
 6.62800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.30557339e-04  1.79990687e+00  1.30556305e-04  1.79990687e+00  1.30555478e-04  1.79990687e+00  3.47530736e-05  1.80006041e+00 
 6.72800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.76021423e-04  1.79990493e+00  1.76020849e-04  1.79990493e+00  1.76022810e-04  1.79990493e+00 -3.08136926e-05  1.79991136e+00 
 6.82800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.31651823e-04  1.79990708e+00  1.31650870e-04  1.79990708e+00  1.31649983e-04  1.79990708e+00  3.20474186e-05  1.80005783e+00 
 6.92800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.73518214e-04  1.79990527e+00  1.73517571e-04  1.79990527e+00  1.73519570e-04  1.79990527e+00 -2.83797337e-05  1.79991407e+00 
 7.02800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.32632911e-04  1.79990737e+00  1.32632033e-04  1.79990737e+00  1.32631105e-04  1.79990737e+00  2.95345091e-05  1.80005546e+00 
 7.12800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.71130677e-04  1.79990568e+00  1.71129972e-04  1.79990568e+00  1.71131991e-04  1.79990569e+00 -2.61280849e-05  1.79991666e+00 
 7.22800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.33510254e-04  1.79990771e+00  1.33509442e-04  1.79990771e+00  1.33508492e-04  1.79990771e+00  2.72034346e-05  1.80005325e+00 
 7.32800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.68852533e-04  1.79990614e+00  1.68851772e-04  1.79990614e+00  1.68853794e-04  1.79990614e+00 -2.40436386e-05  1.79991912e+00 
 7.42800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.34292049e-04  1.79990808e+00  1.34291296e-04  1.79990808e+00  1.34290339e-04  1.79990808e+00  2.50424634e-05  1.80005119e+00 
 7.52800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.66677605e-04  1.79990662e+00  1.66676795e-04  1.79990662e+00  1.66678806e-04  1.79990662e+00 -2.21135733e-05  1.79992145e+00 
 7.62800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.34985488e-04  1.79990846e+00  1.34984788e-04  1.79990846e+00  1.34983836e-04  1.79990846e+00  2.30400325e-05  1.80004925e+00 
 7.72800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.64599918e-04  1.79990711e+00  1.64599065e-04  1.79990711e+00  1.64601055e-04  1.79990711e+00 -2.03265115e-05  1.79992366e+00 
 7.82800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.35597016e-04  1.79990884e+00  1.35596363e-04  1.79990884e+00  1.35595427e-04  1.79990884e+00  2.11851164e-05  1.80004744e+00 
 7.92800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.62613760e-04  1.79990761e+00  1.62612871e-04  1.79990761e+00  1.62614828e-04  1.79990761e+00 -1.86721126e-05  1.79992574e+00 
 8.02800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.36132487e-04  1.79990923e+00  1.36131876e-04  1.79990923e+00  1.36130965e-04  1.79990923e+00  1.94673445e-05  1.80004573e+00 
 8.12800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.60713716e-04  1.79990812e+00  1.60712795e-04  1.79990812e+00  1.60714713e-04  1.79990812e+00 -1.71408626e-05  1.79992771e+00 
 8.22800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.36597266e-04  1.79990961e+00  1.36596691e-04  1.79990961e+00  1.36595812e-04  1.79990961e+00  1.78770180e-05  1.80004412e+00 
 8.32800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.58894678e-04  1.79990863e+00  1.58893729e-04  1.79990863e+00  1.58895602e-04  1.79990863e+00 -1.57239542e-05  1.79992957e+00 
 8.42800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.36996295e-04  1.79990999e+00  1.36995752e-04  1.79990999e+00  1.36994911e-04  1.79990999e+00  1.64050895e-05  1.80004261e+00 
 8.52800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.57151847e-04  1.79990913e+00  1.57150875e-04  1.79990913e+00  1.57152698e-04  1.79990913e+00 -1.44132107e-05  1.79993133e+00 
 8.62800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.37334147e-04  1.79991037e+00  1.37333632e-04  1.79991037e+00  1.37332833e-04  1.79991037e+00  1.50431283e-05  1.80004119e+00 
